PdId,IncidntNum,Incident Code,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,X,Y,location,data_loaded_at
16054460107025,160544601,07025,VEHICLE THEFT,STOLEN TRUCK,Monday,07/04/2016,11:00,MISSION,NONE,800 Block of TREAT AV,-122.41330000391291,37.756553524938894,POINT (-122.413300004 37.756553525),2025/06/20 12:17:56 PM
16616745906244,166167459,06244,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,07/04/2016,16:00,BAYVIEW,NONE,100 Block of CHANNEL ST,-122.39075327366265,37.77437923478075,POINT (-122.390753274 37.774379235),2025/06/20 12:17:56 PM
16054175464070,160541754,64070,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Monday,07/04/2016,20:55,CENTRAL,NONE,1600 Block of THE EMBARCADERONORTH ST,-122.4107742143754,37.80843501758691,POINT (-122.410774214 37.808435018),2025/06/20 12:17:56 PM
16054156664070,160541566,64070,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Monday,07/04/2016,18:30,TARAVAL,NONE,2400 Block of 15TH AV,-122.47135919011126,37.74229065506707,POINT (-122.47135919 37.742290655),2025/06/20 12:17:56 PM
16054331828160,160543318,28160,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Monday,07/04/2016,23:30,INGLESIDE,NONE,600 Block of ANDOVER ST,-122.41672353622428,37.735231721937346,POINT (-122.416723536 37.735231722),2025/06/20 12:17:56 PM
16054394871010,160543948,71010,OTHER OFFENSES,LOST/STOLEN LICENSE PLATE,Monday,07/04/2016,20:00,RICHMOND,NONE,2000 Block of POST ST,-122.43557582019574,37.78489228188199,POINT (-122.43557582 37.784892282),2025/06/20 12:17:56 PM
16054209704083,160542097,04083,ASSAULT,"FIREARM, DISCHARGING IN GROSSLY NEGLIGENT MANNER",Monday,07/04/2016,23:34,INGLESIDE,NONE,1900 Block of SUNNYDALE AV,-122.41710798699296,37.71225618275243,POINT (-122.417107987 37.712256183),2025/06/20 12:17:56 PM
16054350672000,160543506,72000,NON-CRIMINAL,FOUND PROPERTY,Monday,07/04/2016,12:30,NORTHERN,NONE,2800 Block of VANNESS AV,-122.42446656863913,37.80182743073114,POINT (-122.424466569 37.801827431),2025/06/20 12:17:56 PM
16057148807025,160571488,07025,VEHICLE THEFT,STOLEN TRUCK,Monday,07/04/2016,12:00,INGLESIDE,NONE,100 Block of VIENNA ST,-122.42627430773317,37.72588644324353,POINT (-122.426274308 37.725886443),2025/06/20 12:17:56 PM
16614782128150,166147821,28150,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Monday,07/04/2016,18:15,NORTHERN,NONE,1500 Block of VANNESS AV,-122.42206273026355,37.78992000148415,POINT (-122.42206273 37.789920001),2025/06/20 12:17:56 PM
16054054619057,160540546,19057,ASSAULT,THREATS AGAINST LIFE,Monday,07/04/2016,11:25,INGLESIDE,"ARREST, BOOKED",4900 Block of MISSION ST,-122.43869507536512,37.71969202629292,POINT (-122.438695075 37.719692026),2025/06/20 12:17:56 PM
16054135630130,160541356,30130,OTHER OFFENSES,PEDDLING WITHOUT A LICENSE,Monday,07/04/2016,17:58,CENTRAL,"ARREST, BOOKED",1300 Block of THE EMBARCADERONORTH ST,-122.40472579106319,37.80586476903958,POINT (-122.404725791 37.805864769),2025/06/20 12:17:56 PM
16054064368000,160540643,68000,NON-CRIMINAL,FIRE REPORT,Monday,07/04/2016,12:46,NORTHERN,NONE,900 Block of STEINER ST,-122.43338317203177,37.77795665191134,POINT (-122.433383172 37.777956652),2025/06/20 12:17:56 PM
16054759207023,160547592,07023,VEHICLE THEFT,STOLEN MOTORCYCLE,Monday,07/04/2016,09:35,SOUTHERN,NONE,4TH ST / CHANNEL ST,-122.39191301983647,37.77465711050061,POINT (-122.39191302 37.774657111),2025/06/20 12:17:56 PM
16070969562071,160709695,62071,WARRANTS,PROBATION SEARCH,Monday,07/04/2016,08:00,TARAVAL,NONE,200 Block of CRESTLAKE DR,-122.48550321005591,37.735092880880984,POINT (-122.48550321 37.735092881),2025/06/20 12:17:56 PM
16054165765016,160541657,65016,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Monday,07/04/2016,20:23,INGLESIDE,"ARREST, BOOKED",GENEVA AV / PARIS ST,-122.43943810018862,37.71567435683084,POINT (-122.4394381 37.715674357),2025/06/20 12:17:56 PM
16054020127199,160540201,27199,TRESPASS,LODGING WITHOUT PERMISSION,Monday,07/04/2016,06:28,SOUTHERN,"ARREST, BOOKED",800 Block of MARKET ST,-122.4065209871443,37.785062942166064,POINT (-122.406520987 37.785062942),2025/06/20 12:17:56 PM
